SubCount,Category,AvgViews,AvgViewsRounded,AvgLikes,AvgLikesRounded,AvgDislikes,AvgDislikesRounded,LastViews,LastViewsRounded,LastLikes,LastLikesRounded,LastDislikes,LastDislikesRounded,LastComments,LikeCount,LikeCountRounded,LikedOrDisliked,ViewCount,ViewCountRounded
39333756,10,2143086,2150000,66201,66000,990,1000,419553,400000,9003,9000,204,0,775,12743,12500,Disliked,677396,67750000
39333756,10,2107337,2100000,64897,65000,975,1000,677396,700000,12743,12500,357,500,1376,33287,33500,Liked,1454375,145450000
39333756,10,2091790,2100000,64144,64000,960,1000,1454375,1450000,33287,33500,379,500,2783,27033,27000,Liked,956976,95700000
39333756,10,2065399,2050000,63281,63500,943,1000,956976,950000,27033,27000,233,0,2904,23492,23500,Disliked,1420934,142100000
39333756,10,2050752,2050000,62377,62500,943,1000,1420934,1400000,23492,23500,945,1000,9223,24874,25000,Liked,1036660,103650000
39333756,10,2028217,2050000,61544,61500,927,1000,1036660,1050000,24874,25000,215,0,2168,53446,53500,Liked,2561064,256100000
39333756,10,2039801,2050000,61368,61500,920,1000,2561064,2550000,53446,53500,612,500,8723,32179,32000,Liked,1523053,152300000
39333756,10,2028806,2050000,60747,60500,909,1000,1523053,1500000,32179,32000,371,500,4813,62300,62500,Disliked,2306137,230600000
39333756,10,2034584,2050000,60779,61000,947,1000,2306137,2300000,62300,62500,2757,3000,14742,21484,21500,Disliked,1366713,136650000
39333756,10,2020954,2000000,59977,60000,945,1000,1366713,1350000,21484,21500,851,1000,2757,38900,39000,Disliked,2408314,240850000
39333756,10,2028701,2050000,59555,59500,959,1000,2408314,2400000,38900,39000,1652,1500,10277,24465,24500,Disliked,2650763,265100000
34477877,10,1571116,1550000,13958,14000,5340,5500,3142231,3150000,27915,28000,10679,10500,1378,1078211,1078000,Disliked,67892889,6789300000
34477877,10,23678373,23700000,368709,368500,21780,22000,67892889,67900000,1078211,1078000,54661,54500,61208,3706831,3707000,Disliked,474388700,47438850000
34477877,10,136355955,136350000,1203239,1203000,70897,71000,474388700,474400000,3706831,3707000,218246,218000,214179,252180,252000,Disliked,9812780,981300000
34477877,10,111047320,111050000,1013027,1013000,59053,59000,9812780,9800000,252180,252000,11678,11500,8823,763747,763500,Disliked,46717170,4671700000
34477877,10,100325628,100350000,971481,971500,54811,55000,46717170,46700000,763747,763500,33600,33500,14440,279394,279500,Disliked,21257221,2125700000
34477877,10,89030142,89050000,872611,872500,50047,50000,21257221,21250000,279394,279500,21466,21500,15309,580040,580000,Disliked,52190809,5219100000
34477877,10,84425225,84450000,836040,836000,48244,48000,52190809,52200000,580040,580000,35621,35500,31131,405474,405500,Disliked,30111213,3011100000
34477877,10,78390335,78400000,788199,788000,44923,45000,30111213,30100000,405474,405500,18355,18500,15677,420227,420000,Disliked,42441795,4244200000
34477877,10,74795481,74800000,751402,751500,41334,41500,42441795,42450000,420227,420000,9031,9000,10036,671295,671500,Disliked,75257262,7525750000
34477877,10,74837461,74850000,744119,744000,40676,40500,75257262,75250000,671295,671500,34100,34000,25126,246162,246000,Liked,9068472,906850000
34477877,10,69356712,69350000,702623,702500,37643,37500,9068472,9050000,246162,246000,4282,4500,6557,294843,295000,Liked,23264757,2326500000
34477877,10,65811177,65800000,671255,671500,35149,35000,23264757,23250000,294843,295000,5213,5000,7564,369925,370000,Disliked,35680236,3568000000
34477877,10,63658967,63650000,649732,649500,33323,33500,35680236,35700000,369925,370000,9593,9500,11869,5544669,5544500,Disliked,1352418924,1.35E+11
34477877,10,149576297,149600000,976061,976000,58843,59000,1352418924,1352400000,5544669,5544500,416122,416000,238055,311847,312000,Disliked,19839560,1983950000
34477877,10,141467751,141450000,934548,934500,55743,55500,19839560,19850000,311847,312000,9247,9000,8050,421031,421000,Disliked,35583790,3558400000
34477877,10,135239283,135250000,904341,904500,53088,53000,35583790,35600000,421031,421000,10597,10500,10977,463769,464000,Disliked,50334947,5033500000
34477877,10,130522375,130500000,879864,880000,51064,51000,50334947,50350000,463769,464000,16669,16500,16481,594514,594500,Disliked,52361333,5236150000
34477877,10,126408636,126400000,864846,865000,49159,49000,52361333,52350000,594514,594500,14854,15000,24025,1079977,1080000,Disliked,108151873,10815200000
34477877,10,125495798,125500000,875603,875500,48945,49000,108151873,108150000,1079977,1080000,44885,45000,39527,579462,579500,Disliked,64414830,6441500000
34477877,10,122587181,122600000,861501,861500,47245,47000,64414830,64400000,579462,579500,13252,13500,19448,1091853,1092000,Disliked,116570348,11657050000
34477877,10,122313688,122300000,871971,872000,47421,47500,116570348,116550000,1091853,1092000,51118,51000,63559,2678189,2678000,Disliked,413195988,41319600000
34477877,10,134960745,134950000,950502,950500,50628,50500,413195988,413200000,2678189,2678000,121166,121000,128114,1949749,1949500,Disliked,281639749,28163950000
34477877,10,141072370,141050000,992138,992000,52292,52500,281639749,281650000,1949749,1949500,90563,90500,84010,10290828,10291000,Disliked,2943233871,2.94E+11
34477877,10,253158830,253150000,1364085,1364000,103672,103500,2943233871,2943250000,10290828,10291000,1336809,1337000,676982,42942,43000,Disliked,1109733,110950000
34477877,10,243464634,243450000,1313272,1313500,99833,100000,1109733,1100000,42942,43000,3861,4000,2401,6918302,6918500,Disliked,1909815147,1.91E+11
34477877,10,305181320,305200000,1520866,1521000,130596,130500,1909815147,1909800000,6918302,6918500,930436,930500,458369,1501519,1501500,Disliked,165044630,16504450000
34477877,10,300176438,300200000,1520175,1520000,128525,128500,165044630,165050000,1501519,1501500,72600,72500,95890,1959520,1959500,Disliked,253216801,25321700000
34477877,10,298557140,298550000,1535325,1535500,134241,134000,253216801,253200000,1959520,1959500,294284,294500,185269,160639,160500,Disliked,9459454,945950000
34477877,10,288920550,288900000,1489502,1489500,130177,130000,9459454,9450000,160639,160500,12323,12500,9730,410151,410000,Disliked,48138373,4813850000
34477877,10,281153383,281150000,1454684,1454500,126571,126500,48138373,48150000,410151,410000,18378,18500,23728,84116,84000,Disliked,3860891,386100000
34477877,10,272487993,272500000,1411854,1412000,122839,123000,3860891,3850000,84116,84000,7151,7000,10577,1571042,1571000,Disliked,192730893,19273100000
34477877,10,270071111,270050000,1416678,1416500,124277,124500,192730893,192750000,1571042,1571000,170295,170500,137581,78591,78500,Disliked,6959628,695950000
34477877,10,262332538,262350000,1377322,1377500,120732,120500,6959628,6950000,78591,78500,3767,4000,3412,61944,62000,Disliked,3381014,338100000
34477877,10,254933923,254950000,1339740,1339500,117391,117500,3381014,3400000,61944,62000,3797,4000,3204,224783,225000,Disliked,19875837,1987600000
34477877,10,248404532,248400000,1308769,1309000,114334,114500,19875837,19900000,224783,225000,7330,7500,14020,160920,161000,Disliked,10531795,1053200000
34477877,10,241975539,242000000,1277746,1277500,111399,111500,10531795,10550000,160920,161000,5718,5500,8816,83331,83500,Disliked,3749084,374900000
34477877,10,235706422,235700000,1246314,1246500,108565,108500,3749084,3750000,83331,83500,3723,3500,4218,159123,159000,Disliked,11871035,1187100000
34477877,10,229967053,229950000,1218437,1218500,105949,106000,11871035,11850000,159123,159000,6526,6500,9970,78393,78500,Disliked,3038330,303850000
34477877,10,224293835,224300000,1189936,1190000,103372,103500,3038330,3050000,78393,78500,2881,3000,4040,209185,209000,Disliked,16291544,1629150000
34477877,10,219220608,219200000,1166015,1166000,101044,101000,16291544,16300000,209185,209000,7910,8000,14514,238997,239000,Disliked,15688618,1568850000
34477877,10,214374608,214350000,1143944,1144000,98814,99000,15688618,15700000,238997,239000,7389,7500,7891,216815,217000,Disliked,19627833,1962800000
34477877,10,209845614,209850000,1122382,1122500,96671,96500,19627833,19650000,216815,217000,6675,6500,17050,115126,115000,Disliked,5907770,590800000
34477877,10,205210663,205200000,1099490,1099500,94561,94500,5907770,5900000,115126,115000,3833,4000,7060,283779,284000,Disliked,28256919,2825700000
34477877,10,201278357,201300000,1081363,1081500,92693,92500,28256919,28250000,283779,284000,10480,10500,18892,358578,358500,Disliked,31209527,3120950000
34477877,10,197581209,197600000,1065651,1065500,90927,91000,31209527,31200000,358578,358500,11459,11500,45966,448452,448500,Disliked,46714029,4671400000
34477877,10,194371269,194350000,1052519,1052500,89348,89500,46714029,46700000,448452,448500,16739,16500,42546,635941,636000,Disliked,71652869,7165300000
34477877,10,191814635,191800000,1043840,1044000,88588,88500,71652869,71650000,635941,636000,52861,53000,122670,184957,185000,Disliked,14917180,1491700000
34477877,10,188204483,188200000,1026312,1026500,87044,87000,14917180,14900000,184957,185000,12920,13000,18626,79670,79500,Disliked,6534052,653400000
34477877,10,184571075,184550000,1007379,1007500,85413,85500,6534052,6550000,79670,79500,5526,5500,7342,83222,83000,Disliked,8047830,804800000
33908241,24,17405425,17400000,667115,667000,22200,22000,34810850,34800000,1334230,1334000,44400,44500,215319,1555187,1555000,Disliked,26814964,2681500000
33908241,24,20541938,20550000,963139,963000,25367,25500,26814964,26800000,1555187,1555000,31702,31500,329484,1320188,1320000,Disliked,28945976,2894600000
33908241,24,22642948,22650000,1052401,1052500,26736,26500,28945976,28950000,1320188,1320000,30842,31000,120891,1264018,1264000,Disliked,31327775,3132800000
33908241,24,24379913,24400000,1094725,1094500,26537,26500,31327775,31350000,1264018,1264000,25743,25500,228905,1051858,1052000,Disliked,28582910,2858300000
33908241,24,25080413,25100000,1087580,1087500,26157,26000,28582910,28600000,1051858,1052000,24252,24500,105464,1727343,1727500,Liked,57160393,5716050000
33908241,24,29663267,29650000,1178975,1179000,26848,27000,57160393,57150000,1727343,1727500,30997,31000,191627,961547,961500,Liked,26088770,2608900000
33908241,24,29216455,29200000,1151796,1152000,25590,25500,26088770,26100000,961547,961500,16783,17000,126739,1448617,1448500,Liked,46923763,4692400000
33908241,24,31183933,31200000,1184776,1185000,25174,25000,46923763,46900000,1448617,1448500,21850,22000,100222,1162441,1162500,Liked,31574736,3157450000
33908241,24,31223014,31200000,1182543,1182500,24516,24500,31574736,31550000,1162441,1162500,18590,18500,118163,1263784,1264000,Liked,50165512,5016550000
33908241,24,32945059,32950000,1189928,1190000,24262,24500,50165512,50150000,1263784,1264000,21726,21500,161130,874076,874000,Liked,29296962,2929700000
33908241,24,32641051,32650000,1163607,1163500,23283,23500,29296962,29300000,874076,874000,12512,12500,138891,866084,866000,Disliked,32351040,3235100000
33908241,24,32618742,32600000,1140721,1140500,23091,23000,32351040,32350000,866084,866000,20792,21000,47437,844420,844500,Liked,24254066,2425400000
33908241,24,32021266,32000000,1119557,1119500,22362,22500,24254066,24250000,844420,844500,12877,13000,54407,1028476,1028500,Liked,29826432,2982650000
33908241,24,31874943,31850000,1113485,1113500,21926,22000,29826432,29850000,1028476,1028500,15824,16000,47886,871702,871500,Disliked,24994551,2499450000
33908241,24,31444919,31450000,1098373,1098500,21936,22000,24994551,25000000,871702,871500,22080,22000,82310,1451686,1451500,Disliked,49669375,4966950000
33908241,24,32516946,32500000,1119156,1119000,22604,22500,49669375,49650000,1451686,1451500,33306,33500,139448,631232,631000,Liked,15812317,1581250000
33908241,24,31588911,31600000,1092049,1092000,21971,22000,15812317,15800000,631232,631000,11208,11000,54152,2166914,2167000,Disliked,34432183,3443200000
33908241,24,31738557,31750000,1148621,1148500,23382,23500,34432183,34450000,2166914,2167000,48776,49000,138257,937599,937500,Liked,33633233,3363300000
33908241,24,31833290,31850000,1138070,1138000,22921,23000,33633233,33650000,937599,937500,14154,14000,87521,1038627,1038500,Liked,35952215,3595200000
33908241,24,32029430,32050000,1133335,1133500,22622,22500,35952215,35950000,1038627,1038500,16649,16500,67178,995144,995000,Liked,29376735,2937650000
33908241,24,31908853,31900000,1127053,1127000,22112,22000,29376735,29400000,995144,995000,11401,11500,52322,1522472,1522500,Liked,59298230,5929800000
33908241,24,33099695,33100000,1144245,1144000,22284,22500,59298230,59300000,1522472,1522500,26066,26000,204608,914332,914500,Liked,34119719,3411950000
33908241,24,33142196,33150000,1134666,1134500,21963,22000,34119719,34100000,914332,914500,14573,14500,91919,1454433,1454500,Liked,36741964,3674200000
33908241,24,33286187,33300000,1147456,1147500,21976,22000,36741964,36750000,1454433,1454500,22300,22500,93799,635193,635000,Disliked,11237160,1123700000
33908241,24,32438147,32450000,1127754,1128000,21626,21500,11237160,11250000,635193,635000,12871,13000,57972,454175,454000,Disliked,17763993,1776400000
33908241,24,31894660,31900000,1102807,1103000,21263,21500,17763993,17750000,454175,454000,11825,12000,24530,2642146,2642000,Disliked,45194602,4519450000
33908241,24,32369658,32350000,1157783,1158000,22579,22500,45194602,45200000,2642146,2642000,58112,58000,189913,784202,784000,Liked,24529166,2452900000
33908241,24,32099296,32100000,1144901,1145000,22174,22000,24529166,24550000,784202,784000,10827,11000,70929,689206,689000,Liked,20386611,2038650000
33908241,24,31708873,31700000,1129711,1129500,21771,22000,20386611,20400000,689206,689000,10104,10000,108856,916072,916000,Liked,36812955,3681300000
33908241,24,31873521,31850000,1122819,1123000,21574,21500,36812955,36800000,916072,916000,15653,15500,95246,819900,820000,Disliked,31588959,3158900000
33908241,24,31864629,31850000,1113353,1113500,21501,21500,31588959,31600000,819900,820000,19227,19000,138759,792209,792000,Liked,21524492,2152450000
33908241,24,31551291,31550000,1103622,1103500,21160,21000,21524492,21500000,792209,792000,10258,10500,51292,1662004,1662000,Liked,36826341,3682650000
33908241,24,31706440,31700000,1120045,1120000,21250,21500,36826341,36850000,1662004,1662000,24235,24000,96221,892886,893000,Liked,14557900,1455800000
33908241,24,31216481,31200000,1113554,1113500,21109,21000,14557900,14550000,892886,893000,16317,16500,114928,1054325,1054500,Liked,45607186,4560700000
33908241,24,31616223,31600000,1111909,1112000,21024,21000,45607186,45600000,1054325,1054500,18014,18000,113328,1224516,1224500,Liked,47108108,4710800000
33908241,24,32034923,32050000,1114953,1115000,21012,21000,47108108,47100000,1224516,1224500,20590,20500,105885,1195498,1195500,Liked,35839105,3583900000
33908241,24,32135033,32150000,1117072,1117000,21001,21000,35839105,35850000,1195498,1195500,20597,20500,101113,665647,665500,Liked,22901627,2290150000
33908241,24,31898279,31900000,1105497,1105500,20734,20500,22901627,22900000,665647,665500,10602,10500,86244,1545810,1546000,Liked,61695518,6169550000
33908241,24,32643210,32650000,1116505,1116500,20927,21000,61695518,61700000,1545810,1546000,28454,28500,178557,1537278,1537500,Liked,47631001,4763100000
33908241,24,33008766,33000000,1126768,1127000,21015,21000,47631001,47650000,1537278,1537500,24515,24500,139169,1314732,1314500,Liked,39853081,3985300000
33908241,24,33171726,33150000,1131243,1131000,20940,21000,39853081,39850000,1314732,1314500,17883,18000,134280,951227,951000,Liked,20684180,2068400000
