SubCount,Category,LikeCount,LikeCountRounded,LikedOrDisliked,ViewCount,ViewCountRounded
0,28,83658,83500,Disliked,8487239,848700000
762486,24,9774,10000,Disliked,4621554,462150000
1477955,24,27150,27000,Liked,537060,53700000
1382466,1,164900,165000,Liked,4487694,448750000
2588940,26,14497,14500,Liked,337841,33800000
502338,24,21817,22000,Liked,1235985,123600000
1218062,26,45712,45500,Disliked,1445263,144550000
31010005,17,629117,629000,Disliked,34755104,3475500000
564571,22,4312,4500,Liked,136282,13650000
1218754,10,123550,123500,Liked,12223082,1222300000
4170177,23,82434,82500,Liked,1995950,199600000
14517721,24,84101,84000,Disliked,3952485,395250000
1301390,10,177002,177000,Liked,9908117,990800000
3381855,26,31407,31500,Liked,1585350,158550000
1235785,27,38410,38500,Disliked,2188210,218800000
812502,17,19083,19000,Liked,446595,44650000
1214204,22,7896,8000,Disliked,348722,34850000
4173366,25,53899,54000,Disliked,2534694,253450000
9521228,1,33447,33500,Disliked,1716826,171700000
4826599,24,2298,2500,Liked,352489,35250000
1008191,22,7528,7500,Liked,215432,21550000
3624568,27,22219,22000,Disliked,545210,54500000
628419,26,197397,197500,Liked,8268454,826850000
996,1,503,500,Disliked,55031,5500000
2885230,24,55719,55500,Disliked,1946032,194600000
549837,22,2932,3000,Liked,60925,6100000
641164,26,29620,29500,Liked,700875,70100000
27563395,17,8761,9000,Disliked,487182,48700000
391208,24,29626,29500,Disliked,8768099,876800000
752525,22,11551,11500,Liked,250833,25100000
507725,26,5306,5500,Liked,149648,14950000
16338221,22,150421,150500,Liked,10056864,1005700000
2208269,23,20526,20500,Liked,875177,87500000
684623,20,32920,33000,Disliked,728757,72900000
15106,17,167,0,Disliked,13909,1400000
2371447,25,4298,4500,Disliked,209930,21000000
860941,22,6289,6500,Liked,114052,11400000
2628328,25,510,500,Disliked,148728,14850000
1092328,10,152200,152000,Liked,18446340,1844650000
1279315,22,39767,40000,Disliked,2062524,206250000
605944,26,11901,12000,Liked,230740,23050000
479057,26,2589,2500,Disliked,94174,9400000
10020877,26,29271,29500,Liked,864061,86400000
1616596,10,231948,232000,Disliked,22651413,2265150000
1195383,1,8400,8500,Disliked,868431,86850000
1263959,27,23205,23000,Liked,519778,52000000
238,22,11641,11500,Liked,678384,67850000
2987257,22,12566,12500,Liked,223639,22350000
6463712,24,3304,3500,Disliked,248018,24800000
3015142,24,3551,3500,Disliked,929831,93000000
1660755,26,20046,20000,Liked,399839,40000000
2718240,24,75926,76000,Liked,2408694,240850000
12879069,10,31024,31000,Disliked,5926175,592600000
6572722,22,233018,233000,Liked,2614349,261450000
102647,24,8497,8500,Disliked,743261,74350000
3222515,17,1979,2000,Disliked,253618,25350000
1474164,26,4615,4500,Liked,159978,16000000
364236,26,1179,1000,Liked,28817,2900000
344703,27,21494,21500,Liked,736427,73650000
66578,20,25333,25500,Liked,1176495,117650000
2715160,10,24702,24500,Liked,852042,85200000
131,10,1438,1500,Disliked,200751,20100000
854383,24,31336,31500,Liked,365613,36550000
7392497,26,101340,101500,Liked,2680919,268100000
596534,26,3093,3000,Liked,83478,8350000
5365033,24,105865,106000,Disliked,4491667,449150000
31872,24,3091,3000,Disliked,280584,28050000
7092161,20,193292,193500,Disliked,6916208,691600000
8817976,26,18510,18500,Disliked,488712,48850000
261240,1,7146,7000,Disliked,177186,17700000
420649,26,2787,3000,Liked,66509,6650000
3867563,26,8150,8000,Liked,299064,29900000
2547356,17,7100,7000,Disliked,802633,80250000
634434,24,3813,4000,Liked,68898,6900000
646306,24,6943,7000,Liked,105345,10550000
1374905,1,5725,5500,Disliked,439259,43950000
6114437,24,16103,16000,Disliked,874048,87400000
783144,17,8334,8500,Disliked,517515,51750000
1875646,28,13841,14000,Disliked,385145,38500000
966218,25,7987,8000,Disliked,1819782,182000000
7811651,26,78769,79000,Liked,2897458,289750000
1424324,24,25226,25000,Disliked,1117275,111750000
1854403,24,14322,14500,Liked,1481138,148100000
833108,20,20044,20000,Liked,571835,57200000
3284726,17,48549,48500,Liked,1040989,104100000
7335585,26,246308,246500,Disliked,9253862,925400000
26147339,24,25445,25500,Disliked,3940165,394000000
688777,17,8377,8500,Liked,578760,57900000
13912,17,413,500,Disliked,50825,5100000
2882655,24,29122,29000,Disliked,2197498,219750000
2037471,24,105465,105500,Liked,7179246,717900000
0,10,32699,32500,Disliked,3138872,313900000
1609899,17,8273,8500,Liked,276784,27700000
400692,24,97,0,Disliked,22743,2250000
1239575,20,1129,1000,Disliked,91396,9150000
5473546,24,177459,177500,Disliked,3700031,370000000
2394944,15,13696,13500,Disliked,1642100,164200000
2918,17,68,0,Disliked,7030,700000
3101196,28,15492,15500,Disliked,617942,61800000
10840219,15,63411,63500,Disliked,3773458,377350000
1940398,10,139473,139500,Liked,3921183,392100000
6531223,10,5343086,5343000,Disliked,940491037,94049100000
680410,22,20564,20500,Liked,623656,62350000
91901,17,9737,9500,Disliked,1025432,102550000
7970519,28,39493,39500,Disliked,2036698,203650000
2299,29,288,500,Disliked,154269,15450000
1118866,26,23777,24000,Disliked,519599,51950000
4594623,17,873,1000,Disliked,136311,13650000
67166,17,186,0,Disliked,31629,3150000
3446,22,17861,18000,Disliked,1047729,104750000
3060,24,852,1000,Disliked,209323,20950000
2655251,23,75140,75000,Disliked,1456793,145700000
1625370,22,28136,28000,Liked,910356,91050000
3176844,26,18953,19000,Liked,419635,41950000
1877617,22,13166,13000,Liked,269666,26950000
5102382,22,215191,215000,Liked,7736502,773650000
1063361,1,13860,14000,Disliked,1559594,155950000
750619,23,74030,74000,Liked,3254213,325400000
13693821,23,60286,60500,Disliked,2918922,291900000
0,25,4062,4000,Disliked,1107939,110800000
314572,26,4615,4500,Disliked,152345,15250000
6087134,28,24785,25000,Disliked,1075564,107550000
2448250,10,218351,218500,Disliked,17651512,1765150000
38,23,17,0,Disliked,2904,300000
1424798,1,19108,19000,Liked,138580,13850000
1617201,10,103404,103500,Disliked,20218155,2021800000
10539216,10,383483,383500,Disliked,14794101,1479400000
2548134,10,26198,26000,Liked,458896,45900000
889855,10,15000,15000,Disliked,1646609,164650000
2776685,24,55325,55500,Disliked,3757622,375750000
2455396,26,246414,246500,Liked,4763839,476400000
35129,17,818,1000,Disliked,86628,8650000
2569552,26,43126,43000,Liked,1078773,107900000
4361120,24,43168,43000,Liked,3437127,343700000
1463306,22,6870,7000,Disliked,224746,22450000
1426389,10,34321,34500,Disliked,3122620,312250000
194009,10,28385,28500,Disliked,3209293,320950000
424491,26,3041,3000,Disliked,97892,9800000
1933533,26,30363,30500,Liked,783262,78350000
2168213,26,4364,4500,Liked,116992,11700000
4744744,15,9111,9000,Liked,377756,37800000
182594,24,7518,7500,Disliked,572937,57300000
1790754,26,10987,11000,Disliked,323592,32350000
2283069,24,4947,5000,Disliked,607922,60800000
4098188,24,51909,52000,Liked,1015781,101600000
2394495,26,22276,22500,Liked,571762,57200000
81804,10,8513,8500,Disliked,894840,89500000
926765,24,52504,52500,Liked,2230213,223000000
3130217,20,88079,88000,Liked,1373149,137300000
3155601,25,1055,1000,Disliked,82908,8300000
3460183,26,6891,7000,Liked,217225,21700000
959981,10,16141,16000,Disliked,1192150,119200000
1249099,17,2284,2500,Liked,100699,10050000
1301218,24,49145,49000,Disliked,1577457,157750000
6473711,24,41870,42000,Liked,1974751,197500000
60167,2,88454,88500,Disliked,3440312,344050000
1074295,10,68099,68000,Disliked,7507393,750750000
1215391,17,1171,1000,Liked,63673,6350000
502393,20,1685,1500,Disliked,542150,54200000
636019,25,2901,3000,Disliked,836997,83700000
815891,17,3763,4000,Liked,259967,26000000
2242194,28,17457,17500,Disliked,882998,88300000
223507,10,7131,7000,Liked,203377,20350000
102544,17,45680,45500,Liked,1921348,192150000
21406957,22,10632,10500,Disliked,1379298,137950000
336014,20,3078,3000,Disliked,300918,30100000
1184861,22,5524,5500,Disliked,141950,14200000
1966797,28,35513,35500,Disliked,1302605,130250000
1277015,26,6310,6500,Liked,169946,17000000
3718311,10,51936,52000,Disliked,4313984,431400000
5024,10,56956,57000,Liked,5672613,567250000
10240537,20,120755,121000,Disliked,4466941,446700000
5798477,26,618089,618000,Disliked,11213120,1121300000
776336,10,7693,7500,Liked,109228,10900000
6412873,1,92215,92000,Disliked,3460970,346100000
4187369,26,7977,8000,Liked,135711,13550000
467196,26,4324,4500,Disliked,138601,13850000
365071,1,5615,5500,Liked,170583,17050000
4872643,10,9355,9500,Liked,627968,62800000
4088865,22,1860179,1860000,Disliked,217639558,21763950000
2258710,26,9292,9500,Liked,201969,20200000
82020,10,8125,8000,Disliked,778523,77850000
222845,10,55438,55500,Disliked,5454971,545500000
2524883,24,9381,9500,Liked,266666,26650000
1467893,10,19790,20000,Liked,1487761,148800000
5962639,23,175082,175000,Liked,16319816,1632000000
17573604,24,412903,413000,Disliked,7858177,785800000
6055,28,25149,25000,Disliked,2753571,275350000
0,28,83658,83500,Disliked,8487239,848700000
4170177,23,228557,228500,Liked,6126346,612650000
3668895,26,14268,14500,Disliked,530963,53100000
10840221,15,70642,70500,Liked,5378760,537900000
